Diff,CoreFiles
0.0, file 7 - 7
0.3345270000000003, file 7 - 8
0.6423320000000016, file 7 - 9
2.397696, file 7 - 10
0.7145080000000004, file 7 - 11
5.8836200000000005, file 7 - 12
0.0890029999999998, file 7 - 13
0.5679329999999995, file 7 - 14
0.6239809999999991, file 7 - 15
3.2853010000000005, file 7 - 16
0.9583499999999994, file 7 - 21
8.383277, file 7 - 22
1.4829790000000005, file 7 - 23
7.974433000000001, file 7 - 24
1.984225, file 7 - 25
7.063409999999999, file 7 - 26
3.181186000000001, file 7 - 28
0.290112, file 7 - 32
0.8421819999999993, file 7 - 36
0.1338939999999993, file 7 - 37
3.146008000000001, file 7 - 38
2.0471800000000004, file 7 - 39
5.86176, file 7 - 40
0.4767010000000001, file 7 - 41
3.990793, file 7 - 42
0.3998109999999996, file 7 - 43
1.222575, file 7 - 44
0.5650169999999998, file 7 - 45
1.591040000000001, file 7 - 46
0.1481860000000012, file 7 - 47
1.4252599999999989, file 7 - 49
2.922114999999999, file 7 - 50
1.7271940000000003, file 7 - 51
0.978229, file 7 - 52
1.961697, file 7 - 53
1.7659159999999998, file 7 - 54
11.4381, file 7 - 56
2.25362, file 7 - 57
5.591427, file 7 - 58
0.182786999999999, file 7 - 59
1.7999159999999987, file 7 - 60
4.059603, file 7 - 61
2.213659999999999, file 7 - 62
0.5168859999999986, file 7 - 63
0.1218110000000006, file 7 - 64
1.6719919999999997, file 7 - 65
4.883759, file 7 - 66
8.257147999999999, file 7 - 85
6.387878000000001, file 7 - 86
7.704432000000001, file 7 - 87
9.251924, file 7 - 89
4.5346850000000005, file 7 - 90
1.2883610000000003, file 7 - 91
2.090278, file 7 - 92
3.45716, file 7 - 93
0.9162949999999996, file 7 - 94
3.3124870000000004, file 7 - 95
0.2572729999999985, file 7 - 96
4.0058560000000005, file 7 - 97
2.448181999999999, file 7 - 98
1.040715000000002, file 8 - 9
2.7540480000000005, file 8 - 10
0.6800490000000006, file 8 - 11
5.93227, file 8 - 12
0.5593870000000002, file 8 - 13
0.0924459999999991, file 8 - 14
0.1785659999999987, file 8 - 15
3.0349970000000006, file 8 - 16
0.694309999999999, file 8 - 21
8.390062, file 8 - 22
1.3919770000000005, file 8 - 23
8.043243, file 8 - 24
1.880267, file 8 - 25
7.018523999999999, file 8 - 26
2.946067000000001, file 8 - 28
0.5541520000000004, file 8 - 32
0.4433619999999989, file 8 - 36
0.5954289999999997, file 8 - 37
2.9485170000000016, file 8 - 38
1.8734870000000008, file 8 - 39
5.88042, file 8 - 40
0.8422660000000004, file 8 - 41
3.860757, file 8 - 42
0.0585180000000008, file 8 - 43
1.6537040000000005, file 8 - 44
0.2881449999999994, file 8 - 45
1.4961670000000014, file 8 - 46
0.0285670000000015, file 8 - 47
0.9434699999999984, file 8 - 49
2.796496999999999, file 8 - 50
1.4631539999999998, file 8 - 51
0.5798249999999996, file 8 - 52
2.36315, file 8 - 53
1.3183009999999995, file 8 - 54
11.49484, file 8 - 56
1.8552369999999996, file 8 - 57
5.11333, file 8 - 58
0.0322139999999988, file 8 - 59
1.6058099999999986, file 8 - 60
3.725076, file 8 - 61
1.8142139999999995, file 8 - 62
0.1823589999999982, file 8 - 63
0.5564850000000009, file 8 - 64
1.2340219999999993, file 8 - 65
4.787709, file 8 - 66
7.085337, file 8 - 85
6.238529, file 8 - 86
7.213391, file 8 - 87
9.305004, file 8 - 89
4.270645000000001, file 8 - 90
1.6880170000000008, file 8 - 91
1.9250229999999997, file 8 - 92
3.19312, file 8 - 93
1.367337, file 8 - 94
3.267601, file 8 - 95
0.0772540000000018, file 8 - 96
3.909806, file 8 - 97
2.749915999999999, file 8 - 98
1.7910749999999984, file 9 - 10
0.2635760000000013, file 9 - 11
6.660730000000002, file 9 - 12
0.4424940000000017, file 9 - 13
1.097721000000001, file 9 - 14
1.208407000000001, file 9 - 15
2.115971999999999, file 9 - 16
1.704749000000001, file 9 - 21
9.198177, file 9 - 22
0.4554419999999985, file 9 - 23
8.501723000000002, file 9 - 24
0.9485319999999982, file 9 - 25
7.88616, file 9 - 26
2.026341999999999, file 9 - 28
0.4562870000000015, file 9 - 32
1.484514000000001, file 9 - 36
0.3992160000000022, file 9 - 37
2.0269119999999994, file 9 - 38
0.9441319999999986, file 9 - 39
6.670740000000002, file 9 - 40
0.1351780000000014, file 9 - 41
2.9375619999999985, file 9 - 42
0.9425500000000012, file 9 - 43
0.6676689999999984, file 9 - 44
1.2553680000000014, file 9 - 45
0.5609219999999995, file 9 - 46
0.9118720000000003, file 9 - 47
1.9523980000000003, file 9 - 49
1.8707819999999973, file 9 - 50
2.473593000000002, file 9 - 51
1.6205610000000013, file 9 - 52
1.383206999999998, file 9 - 53
2.350761000000002, file 9 - 54
12.196650000000002, file 9 - 56
2.895952000000001, file 9 - 57
6.123145000000001, file 9 - 58
0.9917800000000008, file 9 - 59
2.5777250000000005, file 9 - 60
4.765791000000002, file 9 - 61
2.855992000000001, file 9 - 62
1.223074, file 9 - 63
0.4636370000000009, file 9 - 64
2.257461000000001, file 9 - 65
5.699540000000002, file 9 - 66
6.268771999999999, file 9 - 85
7.217874000000001, file 9 - 86
8.245717, file 9 - 87
10.019734, file 9 - 89
5.281084000000002, file 9 - 90
0.6460289999999987, file 9 - 91
2.8845600000000013, file 9 - 92
4.203559000000002, file 9 - 93
0.3771399999999981, file 9 - 94
4.135237000000002, file 9 - 95
0.963461, file 9 - 96
4.821637000000002, file 9 - 97
1.789009999999997, file 9 - 98
1.85033, file 10 - 11
7.903730000000001, file 10 - 12
2.341165, file 10 - 13
2.9981009999999992, file 10 - 14
3.0660629999999998, file 10 - 15
0.6304690000000003, file 10 - 16
3.359839, file 10 - 21
10.549427, file 10 - 22
1.105045, file 10 - 23
9.321603, file 10 - 24
0.5988170000000004, file 10 - 25
9.315369999999998, file 10 - 26
0.5361490000000008, file 10 - 28
2.111377, file 10 - 32
3.275588999999999, file 10 - 36
2.263802000000001, file 10 - 37
0.522681000000001, file 10 - 38
0.5798139999999998, file 10 - 39
7.998640000000002, file 10 - 40
1.903436, file 10 - 41
1.4095, file 10 - 42
2.829979, file 10 - 43
1.1751210000000003, file 10 - 44
2.971418, file 10 - 45
0.9939609999999992, file 10 - 46
2.469333999999999, file 10 - 47
3.855427999999999, file 10 - 49
0.3390279999999989, file 10 - 50
4.1286830000000005, file 10 - 51
3.411636, file 10 - 52
0.4805160000000005, file 10 - 53
4.207998, file 10 - 54
13.39998, file 10 - 56
4.687027, file 10 - 57
7.972389, file 10 - 58
2.660741, file 10 - 59
4.281310999999999, file 10 - 60
6.4791240000000005, file 10 - 61
4.647067, file 10 - 62
2.9364069999999987, file 10 - 63
2.3202709999999995, file 10 - 64
4.114074, file 10 - 65
7.190252000000001, file 10 - 66
5.226178999999999, file 10 - 85
8.918261000000001, file 10 - 86
10.146645, file 10 - 87
11.242844000000002, file 10 - 89
6.936174, file 10 - 90
1.1450459999999998, file 10 - 91
4.447985999999999, file 10 - 92
5.858649, file 10 - 93
1.4814010000000006, file 10 - 94
5.564447000000001, file 10 - 95
2.676793999999999, file 10 - 96
6.312349, file 10 - 97
0.0660499999999985, file 10 - 98
5.983770000000001, file 11 - 12
0.4103870000000005, file 11 - 13
1.0673229999999998, file 11 - 14
1.0392599999999994, file 11 - 15
2.754248, file 11 - 16
1.2734629999999996, file 11 - 21
8.532697, file 11 - 22
0.8331199999999997, file 11 - 23
7.901523000000001, file 11 - 24
1.2576799999999997, file 11 - 25
7.25205, file 11 - 26
2.6144750000000005, file 11 - 28
0.0250010000000001, file 11 - 32
1.2209379999999994, file 11 - 36
