Difference,File,Compared
0.3345270000000003,8,7
0.6423320000000016,9,7
5.8836200000000005,12,7
0.0890029999999998,13,7
0.0924459999999991,14,8
0.0322139999999988,59,8
0.0285670000000015,47,8
0.0585180000000008,43,8
1.7910749999999984,10,9
0.2635760000000013,11,9
0.1351780000000014,41,9
0.4554419999999985,23,9
0.0660499999999985,98,10
0.6304690000000003,16,10
0.0250010000000001,32,11
0.4025399999999988,26,12
0.2433239999999992,86,12
0.4501100000000001,40,12
1.954625,22,12
0.1354429999999996,15,14
0.0146750000000003,45,14
0.0037929999999994,63,15
0.4889750000000002,21,15
0.2147899999999993,28,16
0.5451089999999996,42,16
0.2901259999999994,49,21
0.230172,36,21
0.1019229999999994,52,21
2.5514290000000006,24,22
0.4245599999999997,25,23
0.0514150000000008,46,23
0.0700760000000001,44,23
0.825475999999999,56,24
1.463211000000001,89,24
0.2194910000000005,39,25
0.0222930000000004,87,26
0.1421209999999998,38,28
0.0142060000000007,37,32
0.0330039999999994,64,32
0.3215560000000022,50,38
0.2684899999999993,53,39
0.9328810000000006,58,40
4.851447,85,42
0.0187360000000009,96,43
0.0216399999999996,91,44
0.4787180000000015,51,49
0.4029539999999992,57,51
0.1234650000000004,54,51
0.1613639999999989,60,54
0.0939240000000003,65,54
0.0656030000000001,92,57
0.0399600000000003,62,57
0.3574759999999993,66,58
1.388254,61,58
0.5447350000000003,90,61
0.5327899999999998,93,61
0.2467319999999997,97,90
0.2688890000000006,94,91
0.261835,95,93
