3255,1.38577,0.0378403,25.1397,
3315,1.386,0.0383858,25.1397,
3375,1.38614,0.0390049,25.1397,
3435,1.38643,0.038438,25.154,
3495,1.38656,0.0388724,25.1479,
3556,1.38688,0.039199,25.1253,
3616,1.38721,0.03831,25.1458,
3676,1.38731,0.0387958,25.1417,
3736,1.38751,0.0387236,25.1479,
3796,1.38754,0.0387325,25.154,
3857,1.38784,0.0386832,25.1499,
3917,1.38813,0.0378692,25.154,
3977,1.38814,0.0378867,25.154,
4037,1.38826,0.0379275,25.154,
4098,1.38864,0.0381109,25.1704,
4158,1.38864,0.0386315,25.1704,
4218,1.38877,0.0386325,25.1888,
4278,1.38901,0.0382456,25.1724,
4338,1.38914,0.0378842,25.1724,
4399,1.38932,0.0375798,25.197,
4459,1.3895,0.0380644,25.1868,
4519,1.38955,0.0377186,25.1909,
4579,1.38964,0.0378115,25.1909,
4639,1.38973,0.0376756,25.1909,
4700,1.38999,0.0378206,25.199,
4760,1.39006,0.0378357,25.2113,
4820,1.39016,0.0378651,25.2318,
4880,1.39032,0.0378527,25.2298,
4941,1.39043,0.0382186,25.2175,
5001,1.39052,0.0384506,25.2277,
5061,1.3907,0.0386593,25.2359,
5121,1.39097,0.0388169,25.2503,
5181,1.39079,0.0382138,25.2524,
5242,1.39092,0.0378732,25.2667,
5302,1.39093,0.0382665,25.2667,
5362,1.39116,0.0377157,25.2647,
5422,1.39117,0.0381071,25.2647,
5483,1.39134,0.0384768,25.2565,
5543,1.39145,0.0376668,25.24,
5603,1.39151,0.0375534,25.2606,
5663,1.39166,0.0377839,25.2811,
5723,1.39188,0.0381341,25.2893,
5783,1.39203,0.0380298,25.277,
5844,1.39207,0.0374528,25.2934,
5904,1.39204,0.0381728,25.2852,
5964,1.39223,0.0381863,25.2954,
6024,1.39241,0.0380056,25.316,
6084,1.39236,0.0378558,25.316,
6145,1.39246,0.0381477,25.3263,
6205,1.39256,0.0380808,25.353,
6265,1.39271,0.0382096,25.3427,
6325,1.39273,0.0382479,25.355,
6385,1.39285,0.0378755,25.3509,
6445,1.39291,0.037783,25.353,
6506,1.39302,0.0377142,25.3653,
6566,1.39318,0.0382519,25.3653,
6626,1.39317,0.0371245,25.3879,
6686,1.39322,0.0378808,25.3633,
6747,1.3933,0.0384012,25.3838,
6807,1.39337,0.0381793,25.3797,
6867,1.39329,0.038099,25.3859,
6927,1.39353,0.0382678,25.39,
6987,1.39369,0.0381662,25.3879,
7048,1.39368,0.038171,25.3982,
7108,1.39373,0.038338,25.4044,
7168,1.39392,0.0384239,25.39,
7228,1.39389,0.0379164,25.39,
7288,1.394,0.0377892,25.3571,
7349,1.39393,0.0383157,25.2996,
7409,1.39417,0.038636,25.2913,
7469,1.39414,0.0380397,25.2729,
7529,1.39419,0.0380875,25.2277,
7589,1.39433,0.0377943,25.2093,
7650,1.39429,0.0383621,25.2216,
7710,1.39439,0.0378291,25.2565,
7770,1.39457,0.038142,25.2647,
7830,1.39455,0.0384041,25.2749,
7890,1.39483,0.0377663,25.2852,
7951,1.39462,0.0376943,25.3119,
8011,1.39482,0.037827,25.2893,
8071,1.39489,0.0383288,25.3016,
8131,1.39496,0.0378078,25.2975,
8192,1.39499,0.0379674,25.2913,
8252,1.39509,0.0377934,25.2831,
8312,1.39522,0.038318,25.279,
8372,1.39538,0.0383078,25.279,
8433,1.39536,0.0380356,25.2749,
8493,1.39529,0.0377686,25.2667,
8553,1.39548,0.037744,25.2688,
8613,1.39551,0.0374999,25.2667,
8674,1.39557,0.0380134,25.2524,
8734,1.39561,0.0379887,25.24,
