0,,,,Version=1.30
10,1.0547,-0.000137575,27.491,
20,1.05483,-0.000137548,27.2609,
30,1.05447,-0.00013752,26.7959,
40,1.05476,-0.000137466,26.5209,
50,1.0545,-0.000137439,26.4177,
60,1.05436,-0.000137466,26.2476,Finish=MaxDischargeTime
62,0.821826,-0.702674,26.2476,Finish=CutoffV
92,1.00305,-0.000131563,26.0343,
122,1.01107,-0.000131998,25.9259,
152,1.01375,-0.000132297,25.8864,
183,1.0156,-0.000132488,25.8656,
213,1.01675,-0.000132651,25.8469,
243,1.01766,-0.000132732,25.8407,
273,1.01845,-0.000132787,25.8594,
303,1.01904,-0.000132868,25.8448,
333,1.01928,-0.000132923,25.849,
363,1.01972,-0.000132896,25.849,
393,1.02014,-0.000133059,25.8448,
423,1.02049,-0.000133113,25.8552,
453,1.02071,-0.000133086,25.8552,
483,1.02095,-0.000133467,25.849,
513,1.02131,-0.000133168,25.8531,
543,1.02127,-0.000133168,25.8054,
573,1.02175,-0.000133249,25.8116,
604,1.02166,-0.000133222,25.8074,
634,1.02182,-0.000133249,25.7929,
662,1.02202,-0.000133249,25.7597,Finish=MaxDischargeTime
672,1.34685,,,
682,1.46609,,25.8843,
692,1.4999,,25.903,
702,1.50753,0.6162,25.8989,
712,1.51124,0.586162,25.8822,
722,1.51434,0.590075,25.8843,
732,1.51683,0.592644,25.9197,
742,1.51861,0.603834,25.9176,
752,1.52051,0.609207,25.8802,
762,1.52222,0.611574,25.9176,
772,1.52385,0.602457,25.9134,
782,1.52513,0.607575,25.901,
792,1.527,0.610533,25.9239,
802,1.52807,0.611235,25.9363,
812,1.52972,0.619636,25.928,
822,1.54657,,25.953,
832,1.55131,,25.9363,
842,1.55293,0.714554,25.9676,
852,1.55475,0.715941,25.9926,
862,1.55608,0.720075,25.9988,
872,1.55732,0.719951,26.0009,
882,1.55868,0.719098,25.9988,
892,1.55993,0.721222,26.0218,
902,1.56109,0.719841,26.0113,
912,1.56222,0.721389,26.0301,
922,1.56345,0.72231,26.0719,
932,1.56419,0.721998,26.0593,
942,1.56483,0.726214,26.0426,
952,1.56554,0.72649,26.0886,
962,1.56644,0.72514,26.0844,
973,1.56702,0.728149,26.0927,
983,1.56771,0.730715,26.122,
993,1.56846,0.731759,26.1304,
1003,1.56894,0.731291,26.1345,
1013,1.56934,0.730947,26.1596,
1023,1.56976,0.734991,26.1325,
1033,1.57048,0.73622,26.1596,
1043,1.57051,0.736779,26.1722,
1053,1.57157,0.738699,26.1952,
1063,1.57159,0.742741,26.168,
1073,1.57201,0.74353,26.2078,
1083,1.57232,0.744231,26.2308,
1093,1.57279,0.745899,26.2308,
1103,1.57328,0.750049,26.235,
1113,1.57372,0.75141,26.2434,
1123,1.57166,0.751411,26.235,
1133,1.57087,0.751209,26.2665,
1140,1.55035,0.751398,26.2665,Finish=Peak
1200,1.38873,,26.2266,
1260,1.37988,0.0628379,26.256,
1320,1.37757,0.0628969,26.2686,
1380,1.37579,0.0399806,26.2371,
1441,1.37328,0.0395935,26.2434,
1501,1.37244,0.0397765,26.1994,
1561,1.3718,0.0396778,26.1555,
1621,1.37163,0.0386643,26.0468,
1681,1.37168,0.0386187,25.9884,
1741,1.37172,0.0387868,25.9467,
1801,1.372,0.0387686,25.8885,
1862,1.3722,0.0386321,25.8324,
1922,1.37254,0.0383822,25.7763,
1982,1.37279,0.0382105,25.768,
2042,1.37304,0.0379533,25.7805,
2102,1.37329,0.0381423,25.8074,
2162,1.37362,0.0379673,25.7908,
2222,1.37403,0.0378704,25.7763,
2283,1.37428,0.0377045,25.8012,
2343,1.37452,0.0373743,25.7784,
2403,1.37472,0.0375996,25.7639,
2463,1.37494,0.0372604,25.7535,
2523,1.37506,0.0372468,25.7701,
2583,1.3753,0.0373716,25.7639,
2644,1.37547,0.0370323,25.7286,
2704,1.37565,0.0366568,25.7431,
2764,1.37588,0.0368101,25.7473,
2824,1.37598,0.0370375,25.739,
2884,1.37611,0.0369581,25.7514,
2944,1.3762,0.0369425,25.7307,
3004,1.37623,0.0366137,25.7411,
3065,1.37648,0.0369385,25.7183,
3125,1.37659,0.0366567,25.7473,
3185,1.3767,0.0366695,25.7286,
